id,tipo,descripcion,valor,fecha_creacion,activo
172.0,POR_MES,tarifa estándar para bicicleta,72502.0,2026-04-28,True
996.0,POR_HORA,tarifa estándar para carro,4753.0,2026-05-06,False
446.0,POR_HORA,tarifa estándar para moto,185973.0,2026-02-23,False
589.0,POR_MES,tarifa estándar para camioneta,148471.0,2026-05-11,False
87.0,POR_DIA,tarifa estándar para carro,20008.0,2026-01-08,True
265.0,POR_DIA,tarifa estándar para camioneta,185424.0,2026-05-08,True
499.0,POR_DIA,tarifa estándar para bicicleta,216997.0,2026-01-01,False
907.0,POR_DIA,tarifa estándar para camioneta,60572.0,2026-05-03,True
126.0,POR_MES,tarifa estándar para moto,186850.0,2026-06-17,True
352.0,POR_DIA,tarifa estándar para carro,178534.0,2026-04-15,False
503.0,POR_MES,tarifa estándar para carro,208709.0,2026-04-06,False
275.0,POR_DIA,tarifa estándar para carro,40450.0,2026-03-17,False
11.0,POR_HORA,tarifa estándar para bicicleta,90756.0,2026-01-15,False
557.0,POR_DIA,tarifa estándar para moto,206416.0,2026-06-22,False
122.0,POR_MES,tarifa estándar para carro,240827.0,2026-01-01,True
680.0,POR_MES,tarifa estándar para moto,91314.0,2026-03-06,False
560.0,POR_DIA,tarifa estándar para bicicleta,160700.0,2026-01-01,False
202.0,POR_HORA,tarifa estándar para carro,184748.0,2026-05-10,False
598.0,POR_DIA,tarifa estándar para carro,99260.0,2026-04-06,True
346.0,POR_MES,tarifa estándar para camioneta,52789.0,2026-04-11,False
80.0,POR_MES,tarifa estándar para bicicleta,148386.0,2026-03-28,False
859.0,POR_MES,tarifa estándar para moto,46222.0,2026-03-28,False
859.0,POR_DIA,tarifa estándar para bicicleta,152419.0,2026-06-07,True
271.0,POR_HORA,tarifa estándar para bicicleta,98702.0,2026-02-06,False
390.0,POR_MES,tarifa estándar para moto,138382.0,2026-02-15,False
706.0,POR_HORA,tarifa estándar para carro,166043.0,2026-06-10,False
488.0,POR_MES,tarifa estándar para moto,141851.0,2026-04-12,True
57.0,POR_DIA,tarifa estándar para bicicleta,212734.0,2026-03-06,True
918.0,POR_HORA,tarifa estándar para camioneta,143514.0,2026-03-08,False
427.0,POR_HORA,tarifa estándar para moto,147809.0,2026-02-22,True
835.0,POR_HORA,tarifa estándar para bicicleta,224179.0,2026-01-23,False
107.0,POR_DIA,tarifa estándar para bicicleta,25927.0,2026-02-09,True
463.0,POR_DIA,tarifa estándar para moto,154563.0,2026-03-05,False
557.0,POR_DIA,tarifa estándar para camioneta,214227.0,2026-05-14,True
252.0,POR_MES,tarifa estándar para moto,223414.0,2026-01-01,False
884.0,POR_HORA,tarifa estándar para moto,57940.0,2026-01-01,True
712.0,POR_HORA,tarifa estándar para bicicleta,77879.0,2026-06-05,False
784.0,POR_MES,tarifa estándar para camioneta,158284.0,2026-06-12,False
236.0,POR_MES,tarifa estándar para carro,200659.0,2026-01-01,True
188.0,POR_DIA,tarifa estándar para bicicleta,67525.0,2026-01-31,False
540.0,POR_MES,tarifa estándar para bicicleta,56327.0,2026-05-15,True
396.0,POR_MES,tarifa estándar para bicicleta,175919.0,2026-02-14,True
835.0,POR_MES,tarifa estándar para bicicleta,118322.0,2026-02-05,True
174.0,POR_MES,tarifa estándar para carro,172754.0,2026-04-30,False
11.0,POR_MES,tarifa estándar para bicicleta,52225.0,2026-06-16,False
799.0,POR_DIA,tarifa estándar para moto,51917.0,2026-03-27,False
628.0,POR_HORA,tarifa estándar para moto,49935.0,2026-03-31,False
238.0,POR_DIA,tarifa estándar para carro,214604.0,2026-04-17,True
94.0,POR_DIA,tarifa estándar para carro,55904.0,2026-03-15,True
55.0,POR_MES,tarifa estándar para moto,142169.0,2026-04-11,False
665.0,POR_DIA,tarifa estándar para moto,197544.0,2026-02-26,False
736.0,POR_HORA,tarifa estándar para carro,116315.0,2026-03-21,True
642.0,POR_HORA,tarifa estándar para carro,197449.0,2026-01-01,True
804.0,POR_MES,tarifa estándar para carro,136700.0,2026-01-04,False
156.0,POR_MES,tarifa estándar para moto,65100.0,2026-05-08,True
942.0,POR_MES,tarifa estándar para carro,174128.0,2026-01-01,True
173.0,POR_HORA,tarifa estándar para camioneta,8191.0,2026-06-17,True
768.0,POR_DIA,tarifa estándar para moto,172571.0,2026-01-25,True
302.0,POR_MES,tarifa estándar para moto,214054.0,2026-01-01,True
290.0,POR_HORA,tarifa estándar para carro,117909.0,2026-05-15,True
534.0,POR_DIA,tarifa estándar para bicicleta,137230.0,2026-05-05,True
940.0,POR_HORA,tarifa estándar para bicicleta,66519.0,2026-01-16,True
855.0,POR_DIA,tarifa estándar para camioneta,32936.0,2026-01-02,False
432.0,POR_HORA,tarifa estándar para camioneta,40344.0,2026-01-01,True
467.0,POR_DIA,tarifa estándar para carro,184667.0,2026-04-07,True
583.0,POR_HORA,tarifa estándar para moto,172919.0,2026-06-19,True
886.0,POR_HORA,tarifa estándar para carro,41067.0,2026-04-16,True
719.0,POR_HORA,tarifa estándar para moto,186201.0,2026-04-06,True
509.0,POR_HORA,tarifa estándar para camioneta,182805.0,2026-04-07,True
573.0,POR_HORA,tarifa estándar para carro,138033.0,2026-06-30,True
921.0,POR_MES,tarifa estándar para carro,72979.0,2026-03-19,False
525.0,POR_DIA,tarifa estándar para moto,142399.0,2026-01-01,False
259.0,POR_HORA,tarifa estándar para bicicleta,225075.0,2026-01-01,True
61.0,POR_HORA,tarifa estándar para camioneta,177050.0,2026-01-01,True
670.0,POR_MES,tarifa estándar para camioneta,63086.0,2026-04-30,False
761.0,POR_MES,tarifa estándar para carro,19611.0,2026-01-29,True
469.0,POR_MES,tarifa estándar para moto,177930.0,2026-05-12,True
91.0,POR_DIA,tarifa estándar para camioneta,114817.0,2026-01-01,False
657.0,POR_HORA,tarifa estándar para carro,7584.0,2026-02-19,True
482.0,POR_HORA,tarifa estándar para carro,236446.0,2026-04-10,True
450.0,POR_MES,tarifa estándar para carro,25835.0,2026-02-15,True
74.0,POR_HORA,tarifa estándar para camioneta,51410.0,2026-03-01,True
71.0,POR_MES,tarifa estándar para moto,14040.0,2026-03-16,False
947.0,POR_MES,tarifa estándar para moto,243637.0,2026-02-20,False
452.0,POR_MES,tarifa estándar para carro,51965.0,2026-05-03,True
772.0,POR_MES,tarifa estándar para bicicleta,228060.0,2026-02-05,False
37.0,POR_MES,tarifa estándar para moto,115753.0,2026-05-14,True
835.0,POR_HORA,tarifa estándar para camioneta,243596.0,2026-01-01,False
814.0,POR_HORA,tarifa estándar para camioneta,249188.0,2026-04-25,True
985.0,POR_MES,tarifa estándar para camioneta,78459.0,2026-05-12,False
68.0,POR_HORA,tarifa estándar para camioneta,161158.0,2026-04-25,False
952.0,POR_HORA,tarifa estándar para carro,235320.0,2026-05-28,False
645.0,POR_DIA,tarifa estándar para carro,95167.0,2026-06-02,False
146.0,POR_HORA,tarifa estándar para carro,64773.0,2026-01-01,True
778.0,POR_MES,tarifa estándar para bicicleta,184863.0,2026-04-23,False
507.0,POR_DIA,tarifa estándar para camioneta,57652.0,2026-05-16,False
47.0,POR_DIA,tarifa estándar para bicicleta,97846.0,2026-06-21,True
779.0,POR_DIA,tarifa estándar para moto,117148.0,2026-04-21,True
119.0,POR_DIA,tarifa estándar para carro,199117.0,2026-02-18,True
508.0,POR_HORA,tarifa estándar para camioneta,74880.0,2026-02-18,False
56.0,POR_DIA,tarifa estándar para carro,15073.0,2026-02-15,False
469.0,POR_HORA,tarifa estándar para moto,192503.0,2026-02-18,True
437.0,POR_MES,tarifa estándar para camioneta,186933.0,2026-01-01,True
736.0,POR_HORA,tarifa estándar para moto,61374.0,2026-02-03,False
889.0,POR_MES,tarifa estándar para carro,22568.0,2026-01-01,False
135.0,POR_HORA,tarifa estándar para camioneta,137383.0,2026-01-01,True
356.0,POR_MES,tarifa estándar para bicicleta,120699.0,2026-01-01,True
450.0,POR_HORA,tarifa estándar para bicicleta,236318.0,2026-04-18,False
672.0,POR_MES,tarifa estándar para camioneta,32533.0,2026-01-11,True
310.0,POR_DIA,tarifa estándar para bicicleta,27825.0,2026-03-12,True
809.0,POR_MES,tarifa estándar para bicicleta,151131.0,2026-06-21,True
665.0,POR_HORA,tarifa estándar para bicicleta,104409.0,2026-04-28,False
362.0,POR_DIA,tarifa estándar para carro,202349.0,2026-01-01,False
258.0,POR_HORA,tarifa estándar para camioneta,53744.0,2026-01-01,False
977.0,POR_MES,tarifa estándar para carro,79499.0,2026-03-09,True
620.0,POR_HORA,tarifa estándar para bicicleta,83814.0,2026-06-02,False
558.0,POR_DIA,tarifa estándar para moto,52040.0,2026-01-14,True
56.0,POR_MES,tarifa estándar para camioneta,187764.0,2026-01-01,True
498.0,POR_HORA,tarifa estándar para camioneta,3330.0,2026-01-27,False
473.0,POR_DIA,tarifa estándar para carro,163617.0,2026-01-08,True
210.0,POR_DIA,tarifa estándar para moto,16132.0,2026-01-01,False
186.0,POR_MES,tarifa estándar para bicicleta,91661.0,2026-03-21,False
908.0,POR_MES,tarifa estándar para bicicleta,206916.0,2026-01-01,True
548.0,POR_HORA,tarifa estándar para moto,84472.0,2026-06-15,False
553.0,POR_MES,tarifa estándar para bicicleta,160326.0,2026-05-02,True
318.0,POR_MES,tarifa estándar para bicicleta,235058.0,2026-01-01,False
971.0,POR_MES,tarifa estándar para bicicleta,28414.0,2026-04-29,True
153.0,POR_DIA,tarifa estándar para bicicleta,107002.0,2026-01-24,True
834.0,POR_MES,tarifa estándar para camioneta,184977.0,2026-05-18,False
556.0,POR_MES,tarifa estándar para carro,55059.0,2026-03-30,False
847.0,POR_DIA,tarifa estándar para moto,98511.0,2026-03-11,True
436.0,POR_HORA,tarifa estándar para carro,220725.0,2026-06-27,False
874.0,POR_MES,tarifa estándar para bicicleta,35461.0,2026-03-13,False
582.0,POR_HORA,tarifa estándar para camioneta,74747.0,2026-01-01,False
771.0,POR_MES,tarifa estándar para carro,17274.0,2026-02-19,True
326.0,POR_DIA,tarifa estándar para camioneta,240402.0,2026-01-27,True
997.0,POR_HORA,tarifa estándar para camioneta,34055.0,2026-06-07,False
684.0,POR_DIA,tarifa estándar para bicicleta,122486.0,2026-05-31,False
369.0,POR_MES,tarifa estándar para moto,115441.0,2026-02-11,False
790.0,POR_MES,tarifa estándar para carro,81263.0,2026-01-01,True
940.0,POR_DIA,tarifa estándar para moto,213105.0,2026-01-01,True
357.0,POR_DIA,tarifa estándar para carro,104549.0,2026-01-01,True
431.0,POR_MES,tarifa estándar para moto,102313.0,2026-04-16,False
27.0,POR_DIA,tarifa estándar para bicicleta,156521.0,2026-01-29,True
361.0,POR_HORA,tarifa estándar para bicicleta,155046.0,2026-05-07,False
